Fecha;Cartera;Moneda_retorno;Rentabilidad_1D
25-07-19;FONDO;CLP;-0,088%
25-07-19;BENCHMARK;CLP;0,471%
26-07-19;FONDO;CLP;0,245%
26-07-19;BENCHMARK;CLP;-0,234%
27-07-19;FONDO;CLP;0,000%
27-07-19;BENCHMARK;CLP;0,000%
28-07-19;FONDO;CLP;0,000%
28-07-19;BENCHMARK;CLP;0,000%
29-07-19;FONDO;CLP;0,336%
29-07-19;BENCHMARK;CLP;0,394%
30-07-19;FONDO;CLP;0,057%
30-07-19;BENCHMARK;CLP;0,008%
31-07-19;FONDO;CLP;-0,307%
31-07-19;BENCHMARK;CLP;-0,575%
01-08-19;FONDO;CLP;-0,574%
01-08-19;BENCHMARK;CLP;-0,634%
02-08-19;BENCHMARK;CLP;-1,124%
02-08-19;FONDO;CLP;-1,474%
03-08-19;FONDO;CLP;0,000%
03-08-19;BENCHMARK;CLP;0,000%
04-08-19;FONDO;CLP;0,000%
04-08-19;BENCHMARK;CLP;0,000%
05-08-19;BENCHMARK;CLP;-2,147%
05-08-19;FONDO;CLP;-2,073%
06-08-19;FONDO;CLP;0,111%
06-08-19;BENCHMARK;CLP;-0,053%
07-08-19;BENCHMARK;CLP;0,695%
07-08-19;FONDO;CLP;0,040%
08-08-19;BENCHMARK;CLP;2,058%
08-08-19;FONDO;CLP;1,595%
09-08-19;FONDO;CLP;0,478%
09-08-19;BENCHMARK;CLP;0,061%
10-08-19;FONDO;CLP;0,000%
10-08-19;BENCHMARK;CLP;0,000%
11-08-19;BENCHMARK;CLP;0,000%
11-08-19;FONDO;CLP;0,000%
12-08-19;FONDO;CLP;-1,558%
12-08-19;BENCHMARK;CLP;-1,741%
13-08-19;FONDO;CLP;0,683%
13-08-19;BENCHMARK;CLP;0,374%
14-08-19;FONDO;CLP;-0,950%
14-08-19;BENCHMARK;CLP;-1,333%
15-08-19;BENCHMARK;CLP;0,000%
15-08-19;FONDO;CLP;0,000%
16-08-19;BENCHMARK;CLP;0,366%
16-08-19;FONDO;CLP;-0,057%
17-08-19;FONDO;CLP;0,000%
17-08-19;BENCHMARK;CLP;0,000%
18-08-19;BENCHMARK;CLP;0,000%
18-08-19;FONDO;CLP;0,000%
19-08-19;BENCHMARK;CLP;-0,240%
19-08-19;FONDO;CLP;0,249%
20-08-19;BENCHMARK;CLP;-0,208%
20-08-19;FONDO;CLP;-0,329%
21-08-19;FONDO;CLP;0,143%
21-08-19;BENCHMARK;CLP;0,156%
22-08-19;BENCHMARK;CLP;-0,952%
22-08-19;FONDO;CLP;-0,781%
23-08-19;BENCHMARK;CLP;-1,906%
23-08-19;FONDO;CLP;-1,334%
24-08-19;BENCHMARK;CLP;0,000%
