Fecha;Cartera;Instrumento;Peso
05-01-19;FONDO;LTM;6,64%
05-01-19;FONDO;MALLPLAZA;1,14%
05-01-19;FONDO;NORTEGRAN;0,66%
05-01-19;FONDO;PARAUCO;0,70%
05-01-19;FONDO;RIPLEY;1,03%
05-01-19;FONDO;SALFACORP;0,94%
05-01-19;FONDO;SK;0,44%
05-01-19;FONDO;SM-CHILE B;3,30%
05-01-19;FONDO;SMU;1,01%
05-01-19;FONDO;SONDA;0,91%
05-01-19;FONDO;SQM-B;6,28%
06-01-19;FONDO;ANDINA-B;1,79%
06-01-19;FONDO;ANTARCHILE;1,93%
06-01-19;FONDO;BCI;7,15%
06-01-19;FONDO;BSANTANDER;6,95%
06-01-19;FONDO;Caja CLP;0,33%
06-01-19;FONDO;CAP;0,13%
06-01-19;FONDO;CCU;1,16%
06-01-19;FONDO;CENCOSUD;2,58%
06-01-19;FONDO;CFILVSCC-L;7,99%
06-01-19;FONDO;CHILE;0,26%
06-01-19;FONDO;CMPC;6,90%
06-01-19;FONDO;COLBUN;0,59%
06-01-19;FONDO;COPEC;5,46%
06-01-19;FONDO;ECL;3,04%
06-01-19;FONDO;ENELAM;9,66%
06-01-19;FONDO;ENELCHILE;4,39%
06-01-19;FONDO;ENTEL;0,92%
06-01-19;FONDO;FALABELLA;5,12%
06-01-19;FONDO;HITES;0,36%
06-01-19;FONDO;IAM;2,41%
06-01-19;FONDO;ILC;2,51%
06-01-19;FONDO;ITAUCORP;5,32%
06-01-19;FONDO;LTM;6,64%
06-01-19;FONDO;MALLPLAZA;1,14%
06-01-19;FONDO;NORTEGRAN;0,66%
06-01-19;FONDO;PARAUCO;0,70%
06-01-19;FONDO;RIPLEY;1,03%
06-01-19;FONDO;SALFACORP;0,94%
06-01-19;FONDO;SK;0,44%
06-01-19;FONDO;SM-CHILE B;3,30%
06-01-19;FONDO;SMU;1,01%
06-01-19;FONDO;SONDA;0,91%
06-01-19;FONDO;SQM-B;6,28%
06-01-19;BENCHMARK;AESGENER;1,28%
06-01-19;BENCHMARK;AGUAS-A;2,55%
